timestamp,symbol,side,entry_price,stop_loss,target_price,status,exit_price,exit_time,reason,api_request,api_response
2026-03-24T08:27:46.020223+00:00,XRPUSD,SELL,1.4219,1.4227,1.4119,OPEN,,,Breakout Entry,"{""product_symbol"": ""XRPUSD"", ""size"": 10, ""side"": ""sell"", ""order_type"": ""market_order"", ""reduce_only"": ""false""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""sell"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:27:46.032376Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240959021, ""limit_price"": ""1.2798"", ""meta_data"": {""cashflow"": ""0"", ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": false, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4219"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:27:46.152101Z"", ""size"": 10, ""paid_commission"": ""0.00838921"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:29:44.150366+00:00,XRPUSD,MANUAL_CLOSE,1.4219,,,CLOSED,,2026-03-24T08:29:44.150366+00:00,MANUAL_SQUARE_OFF,"{""product_id"": 14969, ""size"": 10, ""side"": ""buy"", ""order_type"": ""market_order"", ""reduce_only"": ""true""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""buy"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:29:44.299458Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240961121, ""limit_price"": ""1.5635"", ""meta_data"": {""avg_exit_price"": ""1.4214"", ""cashflow"": ""0.005"", ""entry_price"": ""1.42190000"", ""exit_price_with_size"": [{""price"": ""1.42140000"", ""size"": ""-10""}], ""fills_pnl_with_margin"": [{""margin"": ""0.56876000"", ""pnl"": ""0.00500000""}], ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0.005"", ""roe"": ""0.8791054223222448836064420845"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": true, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4214"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:29:44.321781Z"", ""size"": 10, ""paid_commission"": ""0.00838626"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:30:03.388153+00:00,XRPUSD,BUY,1.4214,1.4212,1.4314,OPEN,,,Breakout Entry,"{""product_symbol"": ""XRPUSD"", ""size"": 100, ""side"": ""buy"", ""order_type"": ""market_order"", ""reduce_only"": ""false""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""buy"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:30:03.434498Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240961465, ""limit_price"": ""1.5634"", ""meta_data"": {""cashflow"": ""0"", ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": false, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4214"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:30:03.507407Z"", ""size"": 100, ""paid_commission"": ""0.0838626"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:30:03.388153+00:00,XRPUSD,BUY,1.4214,1.4212,1.4314,CLOSED,1.4208,2026-03-24T08:30:12.253711+00:00,STOP_LOSS,"{""product_id"": 14969, ""size"": 100, ""side"": ""sell"", ""order_type"": ""market_order"", ""reduce_only"": ""true""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""sell"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:30:12.389206Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240961641, ""limit_price"": ""1.2786"", ""meta_data"": {""avg_exit_price"": ""1.420406"", ""cashflow"": ""-0.0994"", ""entry_price"": ""1.42140000"", ""exit_price_with_size"": [{""price"": ""1.42040000"", ""size"": ""94""}, {""price"": ""1.42050000"", ""size"": ""6""}], ""fills_pnl_with_margin"": [{""margin"": ""5.3444640000"", ""pnl"": ""-0.09400000""}, {""margin"": ""0.3411360000"", ""pnl"": ""-0.00540000""}], ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""-0.0994"", ""roe"": ""-1.748276347263261573096946672"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": true, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.420406"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:30:12.419797Z"", ""size"": 100, ""paid_commission"": ""0.08380396"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:31:27.471476+00:00,XRPUSD,SELL,1.4204,1.4212,1.4104,OPEN,,,Breakout Entry,"{""product_symbol"": ""XRPUSD"", ""size"": 100, ""side"": ""sell"", ""order_type"": ""market_order"", ""reduce_only"": ""false""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""sell"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:31:27.561621Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240963283, ""limit_price"": ""1.2786"", ""meta_data"": {""cashflow"": ""0"", ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": false, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4207"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:31:27.628385Z"", ""size"": 100, ""paid_commission"": ""0.0838213"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:35:12.144772+00:00,XRPUSD,MANUAL_CLOSE,1.4207,,,CLOSED,,2026-03-24T08:35:12.144772+00:00,MANUAL_SQUARE_OFF,"{""product_id"": 14969, ""size"": 100, ""side"": ""buy"", ""order_type"": ""market_order"", ""reduce_only"": ""true""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""buy"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:35:12.290598Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240967487, ""limit_price"": ""1.5615"", ""meta_data"": {""avg_exit_price"": ""1.4193"", ""cashflow"": ""0.14"", ""entry_price"": ""1.42070000"", ""exit_price_with_size"": [{""price"": ""1.41930000"", ""size"": ""-100""}], ""fills_pnl_with_margin"": [{""margin"": ""5.68280000"", ""pnl"": ""0.14000000""}], ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0.14"", ""roe"": ""2.463574294361934257760259027"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": true, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4193"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:35:12.319430Z"", ""size"": 100, ""paid_commission"": ""0.0837387"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:46:43.296538+00:00,XRPUSD,BUY,1.422,1.4209,1.432,OPEN,,,Breakout Entry,"{""product_symbol"": ""XRPUSD"", ""size"": 100, ""side"": ""buy"", ""order_type"": ""market_order"", ""reduce_only"": ""false""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""buy"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:46:43.267047Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240981315, ""limit_price"": ""1.5639"", ""meta_data"": {""cashflow"": ""0"", ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": false, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.422"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:46:43.376783Z"", ""size"": 100, ""paid_commission"": ""0.083898"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:46:43.296538+00:00,XRPUSD,BUY,1.422,1.4209,1.432,CLOSED,1.4209,2026-03-24T08:47:28.343188+00:00,STOP_LOSS,"{""product_id"": 14969, ""size"": 100, ""side"": ""sell"", ""order_type"": ""market_order"", ""reduce_only"": ""true""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""sell"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:47:28.388260Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240982124, ""limit_price"": ""1.2789"", ""meta_data"": {""avg_exit_price"": ""1.4206"", ""cashflow"": ""-0.14"", ""entry_price"": ""1.42200000"", ""exit_price_with_size"": [{""price"": ""1.42060000"", ""size"": ""73""}, {""price"": ""1.42060000"", ""size"": ""27""}], ""fills_pnl_with_margin"": [{""margin"": ""4.1522400000"", ""pnl"": ""-0.10220000""}, {""margin"": ""1.5357600000"", ""pnl"": ""-0.03780000""}], ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""-0.14"", ""roe"": ""-2.461322081575246132208157525"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": true, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4206"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:47:28.423338Z"", ""size"": 100, ""paid_commission"": ""0.08381541"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:49:16.205361+00:00,XRPUSD,SELL,1.4197,1.4201,1.4097,OPEN,,,Breakout Entry,"{""product_symbol"": ""XRPUSD"", ""size"": 100, ""side"": ""sell"", ""order_type"": ""market_order"", ""reduce_only"": ""false""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""sell"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:49:16.113769Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240983819, ""limit_price"": ""1.2779"", ""meta_data"": {""cashflow"": ""0"", ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""0"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": false, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4195"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:49:16.227676Z"", ""size"": 100, ""paid_commission"": ""0.0837505"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
2026-03-24T08:49:16.205361+00:00,XRPUSD,SELL,1.4197,1.4201,1.4097,CLOSED,1.4197,2026-03-24T08:49:20.541618+00:00,TARGET,"{""product_id"": 14969, ""size"": 100, ""side"": ""buy"", ""order_type"": ""market_order"", ""reduce_only"": ""true""}","{""meta"": {}, ""result"": {""quote_size"": null, ""side"": ""buy"", ""commission"": ""0"", ""created_at"": ""2026-03-24T08:49:20.637521Z"", ""bracket_stop_loss_limit_price"": null, ""order_type"": ""market_order"", ""state"": ""closed"", ""product_id"": 14969, ""id"": 1240983894, ""limit_price"": ""1.5616"", ""meta_data"": {""avg_exit_price"": ""1.4195"", ""cashflow"": ""-0"", ""entry_price"": ""1.41950000"", ""exit_price_with_size"": [{""price"": ""1.41950000"", ""size"": ""-100""}], ""fills_pnl_with_margin"": [{""margin"": ""5.67800000"", ""pnl"": ""-0.00000000""}], ""ip"": ""103.206.178.255"", ""otc"": false, ""pnl"": ""-0"", ""roe"": ""0"", ""source"": ""api""}, ""stop_trigger_method"": null, ""bracket_trail_amount"": null, ""bracket_take_profit_price"": null, ""reduce_only"": true, ""cancellation_reason"": null, ""bracket_stop_loss_price"": null, ""client_order_id"": null, ""time_in_force"": ""ioc"", ""user_id"": 78497219, ""average_fill_price"": ""1.4195"", ""trail_amount"": null, ""margin_mode"": ""isolated"", ""product_symbol"": ""XRPUSD"", ""updated_at"": ""2026-03-24T08:49:20.657716Z"", ""size"": 100, ""paid_commission"": ""0.0837505"", ""unfilled_size"": 0, ""stop_price"": null, ""stop_order_type"": null, ""bracket_order"": null, ""bracket_take_profit_limit_price"": null, ""mmp"": ""disabled""}, ""success"": true}"
