time,open,high,low,close,volume
1774267620,69915,69932.5,69765,69803,19708
1774267560,69794,69931.5,69777.5,69911,17265
1774267500,69906,69974.5,69779.5,69794,28624
1774267440,69862.5,69982.5,69861.5,69900.5,33980
1774267380,69695.5,69930,69650.5,69867,51483
1774267320,69835,69906.5,69684.5,69697.5,58169
1774267260,70049.5,70049.5,69675.5,69836,112466
1774267200,70105,70256.5,69987,70048.5,69967
1774267140,70082,70121.5,70060,70105,17065
1774267080,70106.5,70136.5,70046,70085,138272
1774267020,70138,70175,70038.5,70105.5,26245
1774266960,70125.5,70142,70031.5,70139,51753
1774266900,70474.5,70474.5,70122.5,70124.5,46761
1774266840,70384,70565.5,70384,70474.5,39286
1774266780,70317,70384,70310.5,70380,11168
1774266720,70359.5,70386,70284.5,70317,13592
1774266660,70356,70358.5,70246.5,70357,17853
1774266600,70408.5,70408.5,70261.5,70351.5,26158
1774266540,70290,70450,70263,70408.5,30630
1774266480,70080,70342.5,70064.5,70290,55913
1774266420,70334,70348,70080,70080,85001
1774266360,70557.5,70609.5,70333,70333,37752
1774266300,70645.5,70676,70528,70560.5,22950
1774266240,70721,70774.5,70610.5,70641,13568
1774266180,70734.5,70751,70657,70723.5,11899
1774266120,70691,70737,70654.5,70733.5,11505
1774266060,70766,70768.5,70547.5,70690,23132
1774266000,70642.5,70775.5,70611.5,70769.5,29907
1774265940,70400,70667.5,70388.5,70655.5,38715
1774265880,70525.5,70526.5,70368,70395,54774
1774265820,70751.5,70763,70517,70525.5,56478
1774265760,70889,70925.5,70715.5,70749,34315
1774265700,70981.5,70983.5,70877.5,70889,22620
1774265640,71065,71076,70973,70981.5,23861
1774265580,70945.5,71187,70918.5,71065,72890
1774265520,70880.5,70956.5,70842,70940.5,25701
1774265460,70887.5,70914,70862,70880.5,24216
1774265400,70682.5,70922.5,70681.5,70886.5,56383
1774265340,70737,70737,70582,70685.5,14432
1774265280,70703.5,70740,70546.5,70735.5,24621
1774265220,70734,70751.5,70663,70723,24299
1774265160,70731,70797.5,70712,70738,35918
1774265100,70534,70731,70516,70730,39098
1774265040,70446,70539,70275,70534,80251
1774264980,70722.5,70722.5,70425,70447,67412
1774264920,70794,70805.5,70609.5,70713,33270
1774264860,70823,70870.5,70677.5,70778.5,23657
1774264800,70700.5,70907.5,70672,70821,35788
1774264740,70762.5,70803,70660,70701.5,61267
1774264680,70871.5,70958.5,70762.5,70762.5,30941
1774264620,70876,71001,70774,70872.5,50150
1774264560,71018.5,71085,70810.5,70870,49784
1774264500,70939.5,71244,70919,71027.5,67599
1774264440,71196,71269.5,70841,70934,66991
1774264380,71302.5,71472.5,71183.5,71187.5,58617
1774264320,71025,71449,71013,71309.5,76963
1774264260,70878.5,71259.5,70877.5,71021.5,65789
1774264200,71195,71239.5,70808.5,70865.5,71420
1774264140,70787,71210.5,70747,71190,86028
1774264080,70404.5,70894.5,70307,70797.5,76554
1774264020,70587,71065,70382,70388,128362
1774263960,69933.5,70948,69851.5,70593,221058
1774263900,68542,69968,68542,69948.5,303694
1774263840,68524.5,68552,68524,68542,5831
1774263780,68596,68614,68514,68524.5,8372
1774263720,68611,68625,68573,68596,7325
1774263660,68603,68661,68594,68612,12720
1774263600,68522.5,68616.5,68522.5,68603,20932
1774263540,68537,68537,68516.5,68519.5,2659
1774263480,68532,68554,68531,68537.5,6485
1774263420,68492.5,68531,68481.5,68531,6452
1774263360,68479,68507,68474.5,68491.5,5090
1774263300,68482,68498,68476.5,68479,4835
1774263240,68517,68527,68482.5,68482.5,5020
1774263180,68478,68526.5,68474.5,68513.5,6932
1774263120,68449,68508,68444.5,68478,8828
1774263060,68469.5,68469.5,68428,68444.5,6132
1774263000,68368,68543.5,68367,68469.5,27077
1774262940,68368.5,68379.5,68338,68367,5096
