date,time,open,high,low,close,volume,time_human,time_iso8601
2026-03-24 12:39:00+05:30,1774336140,1.4201,1.423,1.4201,1.4225,20119.0,2026-03-24 12:39:00 IST,2026-03-24T12:39:00+05:30
2026-03-24 12:42:00+05:30,1774336320,1.4231,1.4252,1.4223,1.4229,85798.0,2026-03-24 12:42:00 IST,2026-03-24T12:42:00+05:30
2026-03-24 12:45:00+05:30,1774336500,1.423,1.4244,1.421,1.4214,47581.0,2026-03-24 12:45:00 IST,2026-03-24T12:45:00+05:30
2026-03-24 12:48:00+05:30,1774336680,1.4214,1.4222,1.4203,1.4213,67275.0,2026-03-24 12:48:00 IST,2026-03-24T12:48:00+05:30
2026-03-24 12:51:00+05:30,1774336860,1.4212,1.4234,1.4208,1.4234,22916.0,2026-03-24 12:51:00 IST,2026-03-24T12:51:00+05:30
2026-03-24 12:54:00+05:30,1774337040,1.4231,1.4231,1.4209,1.4209,6822.0,2026-03-24 12:54:00 IST,2026-03-24T12:54:00+05:30
2026-03-24 12:57:00+05:30,1774337220,1.4209,1.4228,1.4209,1.422,5654.0,2026-03-24 12:57:00 IST,2026-03-24T12:57:00+05:30
2026-03-24 13:00:00+05:30,1774337400,1.4223,1.4238,1.4215,1.423,57555.0,2026-03-24 13:00:00 IST,2026-03-24T13:00:00+05:30
2026-03-24 13:03:00+05:30,1774337580,1.4236,1.4236,1.4221,1.4228,10699.0,2026-03-24 13:03:00 IST,2026-03-24T13:03:00+05:30
2026-03-24 13:06:00+05:30,1774337760,1.4224,1.4225,1.4209,1.422,3627.0,2026-03-24 13:06:00 IST,2026-03-24T13:06:00+05:30
2026-03-24 13:09:00+05:30,1774337940,1.4222,1.4227,1.4219,1.4219,13739.0,2026-03-24 13:09:00 IST,2026-03-24T13:09:00+05:30
2026-03-24 13:12:00+05:30,1774338120,1.4219,1.4227,1.4212,1.4222,10507.0,2026-03-24 13:12:00 IST,2026-03-24T13:12:00+05:30
2026-03-24 13:15:00+05:30,1774338300,1.4226,1.4237,1.4222,1.4237,11161.0,2026-03-24 13:15:00 IST,2026-03-24T13:15:00+05:30
2026-03-24 13:18:00+05:30,1774338480,1.4237,1.4248,1.4227,1.4242,18901.0,2026-03-24 13:18:00 IST,2026-03-24T13:18:00+05:30
2026-03-24 13:21:00+05:30,1774338660,1.4242,1.4256,1.4238,1.4241,21100.0,2026-03-24 13:21:00 IST,2026-03-24T13:21:00+05:30
2026-03-24 13:24:00+05:30,1774338840,1.4247,1.4267,1.4245,1.4267,20170.0,2026-03-24 13:24:00 IST,2026-03-24T13:24:00+05:30
2026-03-24 13:27:00+05:30,1774339020,1.427,1.432,1.4268,1.4308,61144.0,2026-03-24 13:27:00 IST,2026-03-24T13:27:00+05:30
2026-03-24 13:30:00+05:30,1774339200,1.4305,1.4328,1.4264,1.4273,57304.0,2026-03-24 13:30:00 IST,2026-03-24T13:30:00+05:30
2026-03-24 13:33:00+05:30,1774339380,1.4279,1.4294,1.4273,1.4287,13144.0,2026-03-24 13:33:00 IST,2026-03-24T13:33:00+05:30
2026-03-24 13:36:00+05:30,1774339560,1.429,1.429,1.4256,1.4262,29394.0,2026-03-24 13:36:00 IST,2026-03-24T13:36:00+05:30
2026-03-24 13:39:00+05:30,1774339740,1.4262,1.4281,1.4257,1.4269,18243.0,2026-03-24 13:39:00 IST,2026-03-24T13:39:00+05:30
2026-03-24 13:42:00+05:30,1774339920,1.4279,1.4284,1.4276,1.4278,11105.0,2026-03-24 13:42:00 IST,2026-03-24T13:42:00+05:30
2026-03-24 13:45:00+05:30,1774340100,1.4275,1.4275,1.4243,1.4244,49325.0,2026-03-24 13:45:00 IST,2026-03-24T13:45:00+05:30
2026-03-24 13:48:00+05:30,1774340280,1.4245,1.4254,1.4224,1.4226,22452.0,2026-03-24 13:48:00 IST,2026-03-24T13:48:00+05:30
2026-03-24 13:51:00+05:30,1774340460,1.4224,1.4232,1.4221,1.423,5487.0,2026-03-24 13:51:00 IST,2026-03-24T13:51:00+05:30
2026-03-24 13:54:00+05:30,1774340640,1.4229,1.4229,1.4214,1.4227,17453.0,2026-03-24 13:54:00 IST,2026-03-24T13:54:00+05:30
2026-03-24 13:57:00+05:30,1774340820,1.4225,1.4227,1.4212,1.4212,28930.0,2026-03-24 13:57:00 IST,2026-03-24T13:57:00+05:30
2026-03-24 14:00:00+05:30,1774341000,1.4212,1.4214,1.4198,1.4199,27890.0,2026-03-24 14:00:00 IST,2026-03-24T14:00:00+05:30
2026-03-24 14:03:00+05:30,1774341180,1.4201,1.4205,1.419,1.4204,16683.0,2026-03-24 14:03:00 IST,2026-03-24T14:03:00+05:30
2026-03-24 14:06:00+05:30,1774341360,1.4204,1.4222,1.42,1.4216,13798.0,2026-03-24 14:06:00 IST,2026-03-24T14:06:00+05:30
2026-03-24 14:09:00+05:30,1774341540,1.4214,1.4237,1.4214,1.4214,23619.0,2026-03-24 14:09:00 IST,2026-03-24T14:09:00+05:30
2026-03-24 14:12:00+05:30,1774341720,1.4213,1.4217,1.4201,1.4208,4423.0,2026-03-24 14:12:00 IST,2026-03-24T14:12:00+05:30
2026-03-24 14:15:00+05:30,1774341900,1.4209,1.422,1.4198,1.4199,12331.0,2026-03-24 14:15:00 IST,2026-03-24T14:15:00+05:30
2026-03-24 14:18:00+05:30,1774342080,1.4199,1.4202,1.4159,1.4159,54484.0,2026-03-24 14:18:00 IST,2026-03-24T14:18:00+05:30
2026-03-24 14:21:00+05:30,1774342260,1.4159,1.4185,1.4143,1.4167,50964.0,2026-03-24 14:21:00 IST,2026-03-24T14:21:00+05:30
2026-03-24 14:24:00+05:30,1774342440,1.4167,1.4182,1.416,1.4166,14337.0,2026-03-24 14:24:00 IST,2026-03-24T14:24:00+05:30
2026-03-24 14:27:00+05:30,1774342620,1.4163,1.4178,1.4158,1.4165,11811.0,2026-03-24 14:27:00 IST,2026-03-24T14:27:00+05:30
2026-03-24 14:30:00+05:30,1774342800,1.4165,1.417,1.4147,1.4153,21690.0,2026-03-24 14:30:00 IST,2026-03-24T14:30:00+05:30
2026-03-24 14:33:00+05:30,1774342980,1.4153,1.4168,1.4146,1.4162,28946.0,2026-03-24 14:33:00 IST,2026-03-24T14:33:00+05:30
2026-03-24 14:36:00+05:30,1774343160,1.4163,1.4165,1.4148,1.415,6230.0,2026-03-24 14:36:00 IST,2026-03-24T14:36:00+05:30
2026-03-24 14:39:00+05:30,1774343340,1.4156,1.416,1.4132,1.4134,12088.0,2026-03-24 14:39:00 IST,2026-03-24T14:39:00+05:30
2026-03-24 14:42:00+05:30,1774343520,1.4134,1.4157,1.4134,1.4137,5548.0,2026-03-24 14:42:00 IST,2026-03-24T14:42:00+05:30
2026-03-24 14:45:00+05:30,1774343700,1.4138,1.4164,1.4126,1.4156,25842.0,2026-03-24 14:45:00 IST,2026-03-24T14:45:00+05:30
2026-03-24 14:48:00+05:30,1774343880,1.4156,1.4161,1.4153,1.4156,11519.0,2026-03-24 14:48:00 IST,2026-03-24T14:48:00+05:30
2026-03-24 14:51:00+05:30,1774344060,1.4156,1.4156,1.4138,1.415,7334.0,2026-03-24 14:51:00 IST,2026-03-24T14:51:00+05:30
2026-03-24 14:54:00+05:30,1774344240,1.4148,1.4169,1.4144,1.4154,37988.0,2026-03-24 14:54:00 IST,2026-03-24T14:54:00+05:30
2026-03-24 14:57:00+05:30,1774344420,1.4156,1.4168,1.4155,1.4155,30953.0,2026-03-24 14:57:00 IST,2026-03-24T14:57:00+05:30
2026-03-24 15:00:00+05:30,1774344600,1.4151,1.4165,1.4135,1.4164,28989.0,2026-03-24 15:00:00 IST,2026-03-24T15:00:00+05:30
2026-03-24 15:03:00+05:30,1774344780,1.4163,1.4164,1.4141,1.416,5372.0,2026-03-24 15:03:00 IST,2026-03-24T15:03:00+05:30
2026-03-24 15:06:00+05:30,1774344960,1.4164,1.4167,1.4158,1.4158,6750.0,2026-03-24 15:06:00 IST,2026-03-24T15:06:00+05:30
2026-03-24 15:09:00+05:30,1774345140,1.416,1.4192,1.416,1.4187,49120.0,2026-03-24 15:09:00 IST,2026-03-24T15:09:00+05:30
2026-03-24 15:12:00+05:30,1774345320,1.4189,1.4202,1.4189,1.4202,41477.0,2026-03-24 15:12:00 IST,2026-03-24T15:12:00+05:30
2026-03-24 15:15:00+05:30,1774345500,1.4199,1.4209,1.4195,1.4209,26996.0,2026-03-24 15:15:00 IST,2026-03-24T15:15:00+05:30
2026-03-24 15:18:00+05:30,1774345680,1.4207,1.421,1.4201,1.4201,12247.0,2026-03-24 15:18:00 IST,2026-03-24T15:18:00+05:30
2026-03-24 15:21:00+05:30,1774345860,1.4202,1.4222,1.4197,1.4222,31433.0,2026-03-24 15:21:00 IST,2026-03-24T15:21:00+05:30
2026-03-24 15:24:00+05:30,1774346040,1.4222,1.4236,1.4222,1.4225,14797.0,2026-03-24 15:24:00 IST,2026-03-24T15:24:00+05:30
2026-03-24 15:27:00+05:30,1774346220,1.4224,1.4232,1.4223,1.4225,10375.0,2026-03-24 15:27:00 IST,2026-03-24T15:27:00+05:30
2026-03-24 15:30:00+05:30,1774346400,1.4228,1.423,1.4182,1.4193,52082.0,2026-03-24 15:30:00 IST,2026-03-24T15:30:00+05:30
2026-03-24 15:33:00+05:30,1774346580,1.4194,1.4204,1.4191,1.4203,10792.0,2026-03-24 15:33:00 IST,2026-03-24T15:33:00+05:30
2026-03-24 15:36:00+05:30,1774346760,1.4203,1.4211,1.4197,1.4203,17931.0,2026-03-24 15:36:00 IST,2026-03-24T15:36:00+05:30
2026-03-24 15:39:00+05:30,1774346940,1.4206,1.4213,1.4186,1.4186,28767.0,2026-03-24 15:39:00 IST,2026-03-24T15:39:00+05:30
2026-03-24 15:42:00+05:30,1774347120,1.4186,1.4198,1.4186,1.4195,3240.0,2026-03-24 15:42:00 IST,2026-03-24T15:42:00+05:30
2026-03-24 15:45:00+05:30,1774347300,1.4194,1.42,1.4185,1.4189,17541.0,2026-03-24 15:45:00 IST,2026-03-24T15:45:00+05:30
2026-03-24 15:48:00+05:30,1774347480,1.4188,1.4197,1.4181,1.4197,9016.0,2026-03-24 15:48:00 IST,2026-03-24T15:48:00+05:30
2026-03-24 15:51:00+05:30,1774347660,1.4198,1.4203,1.4187,1.4194,17874.0,2026-03-24 15:51:00 IST,2026-03-24T15:51:00+05:30
2026-03-24 15:54:00+05:30,1774347840,1.4194,1.4194,1.418,1.4183,15285.0,2026-03-24 15:54:00 IST,2026-03-24T15:54:00+05:30
2026-03-24 15:57:00+05:30,1774348020,1.4183,1.4193,1.4176,1.4178,28149.0,2026-03-24 15:57:00 IST,2026-03-24T15:57:00+05:30
2026-03-24 16:00:00+05:30,1774348200,1.4174,1.4175,1.4166,1.4175,24933.0,2026-03-24 16:00:00 IST,2026-03-24T16:00:00+05:30
2026-03-24 16:03:00+05:30,1774348380,1.4167,1.4181,1.416,1.4179,6393.0,2026-03-24 16:03:00 IST,2026-03-24T16:03:00+05:30
2026-03-24 16:06:00+05:30,1774348560,1.4181,1.4181,1.4167,1.4172,1920.0,2026-03-24 16:06:00 IST,2026-03-24T16:06:00+05:30
2026-03-24 16:09:00+05:30,1774348740,1.4171,1.4192,1.4171,1.4188,17183.0,2026-03-24 16:09:00 IST,2026-03-24T16:09:00+05:30
2026-03-24 16:12:00+05:30,1774348920,1.4186,1.4186,1.4174,1.4182,5513.0,2026-03-24 16:12:00 IST,2026-03-24T16:12:00+05:30
2026-03-24 16:15:00+05:30,1774349100,1.4182,1.4183,1.4166,1.4173,11183.0,2026-03-24 16:15:00 IST,2026-03-24T16:15:00+05:30
2026-03-24 16:18:00+05:30,1774349280,1.4176,1.4181,1.417,1.4181,8439.0,2026-03-24 16:18:00 IST,2026-03-24T16:18:00+05:30
2026-03-24 16:21:00+05:30,1774349460,1.4182,1.4182,1.4174,1.4174,7108.0,2026-03-24 16:21:00 IST,2026-03-24T16:21:00+05:30
2026-03-24 16:24:00+05:30,1774349640,1.4175,1.4205,1.4175,1.4204,13706.0,2026-03-24 16:24:00 IST,2026-03-24T16:24:00+05:30
2026-03-24 16:27:00+05:30,1774349820,1.4202,1.4214,1.4201,1.421,16899.0,2026-03-24 16:27:00 IST,2026-03-24T16:27:00+05:30
2026-03-24 16:30:00+05:30,1774350000,1.4208,1.4212,1.4163,1.4163,82254.0,2026-03-24 16:30:00 IST,2026-03-24T16:30:00+05:30
2026-03-24 16:33:00+05:30,1774350180,1.4166,1.4168,1.4144,1.4155,205779.0,2026-03-24 16:33:00 IST,2026-03-24T16:33:00+05:30
2026-03-24 16:36:00+05:30,1774350360,1.4155,1.4192,1.4155,1.4187,28706.0,2026-03-24 16:36:00 IST,2026-03-24T16:36:00+05:30
2026-03-24 16:39:00+05:30,1774350540,1.4185,1.4205,1.4185,1.4197,9188.0,2026-03-24 16:39:00 IST,2026-03-24T16:39:00+05:30
2026-03-24 16:42:00+05:30,1774350720,1.4193,1.4198,1.4173,1.4181,4445.0,2026-03-24 16:42:00 IST,2026-03-24T16:42:00+05:30
2026-03-24 16:45:00+05:30,1774350900,1.418,1.4182,1.4158,1.4164,13937.0,2026-03-24 16:45:00 IST,2026-03-24T16:45:00+05:30
2026-03-24 16:48:00+05:30,1774351080,1.4164,1.4172,1.4153,1.4167,3551.0,2026-03-24 16:48:00 IST,2026-03-24T16:48:00+05:30
2026-03-24 16:51:00+05:30,1774351260,1.4169,1.418,1.4167,1.418,3694.0,2026-03-24 16:51:00 IST,2026-03-24T16:51:00+05:30
2026-03-24 16:54:00+05:30,1774351440,1.4177,1.4181,1.4167,1.4181,6861.0,2026-03-24 16:54:00 IST,2026-03-24T16:54:00+05:30
2026-03-24 16:57:00+05:30,1774351620,1.4181,1.4197,1.4181,1.4186,6204.0,2026-03-24 16:57:00 IST,2026-03-24T16:57:00+05:30
2026-03-24 17:00:00+05:30,1774351800,1.4181,1.4194,1.4181,1.419,2894.0,2026-03-24 17:00:00 IST,2026-03-24T17:00:00+05:30
2026-03-24 17:03:00+05:30,1774351980,1.4194,1.4235,1.4194,1.422,81151.0,2026-03-24 17:03:00 IST,2026-03-24T17:03:00+05:30
2026-03-24 17:06:00+05:30,1774352160,1.4218,1.425,1.4218,1.4232,99347.0,2026-03-24 17:06:00 IST,2026-03-24T17:06:00+05:30
2026-03-24 17:09:00+05:30,1774352340,1.4236,1.4248,1.4216,1.4221,28100.0,2026-03-24 17:09:00 IST,2026-03-24T17:09:00+05:30
2026-03-24 17:12:00+05:30,1774352520,1.422,1.423,1.4212,1.4213,10114.0,2026-03-24 17:12:00 IST,2026-03-24T17:12:00+05:30
2026-03-24 17:15:00+05:30,1774352700,1.4209,1.423,1.4209,1.4222,4315.0,2026-03-24 17:15:00 IST,2026-03-24T17:15:00+05:30
2026-03-24 17:18:00+05:30,1774352880,1.422,1.4228,1.4217,1.4227,5142.0,2026-03-24 17:18:00 IST,2026-03-24T17:18:00+05:30
2026-03-24 17:21:00+05:30,1774353060,1.4227,1.4231,1.4184,1.4184,36431.0,2026-03-24 17:21:00 IST,2026-03-24T17:21:00+05:30
2026-03-24 17:24:00+05:30,1774353240,1.4184,1.4211,1.4184,1.4207,4205.0,2026-03-24 17:24:00 IST,2026-03-24T17:24:00+05:30
